ID	Symbol	StartDate	Size(MB)	Description	Exchange	Industry	Sector
413	CAMP	1/2/1998	31.35	"CalAmp Corp."	NASDAQ	"Radio And Television Broadcasting And Communications Equipment"	"Technology"
414	CAR	1/2/1998	48.13	"Avis Budget Group, Inc."	NASDAQ	"Rental/Leasing Companies"	"Consumer Services"
415	CARB	8/11/2011	8.03	"Carbonite, Inc."	NASDAQ	"EDP Services"	"Technology"
416	CAS	1/2/1998	25.1	"Castle (A.M.) & Co."	NYSE	"Metal Fabrications"	"Basic Industries"
417	CASC	6/12/2009	14.97	"Cascadian Therapeutics, Inc."	NASDAQ	"Biotechnology: Commercial Physical & Biological Resarch"	"Health Care"
418	CASH	3/21/2006	2.89	"Meta Financial Group, Inc."	NASDAQ	"Savings Institutions"	"Finance"
419	CASS	3/9/2004	5.29	"Cass Information Systems, Inc"	NASDAQ	"Business Services"	"Miscellaneous"
420	CASY	1/2/1998	48.35	"Caseys General Stores, Inc."	NASDAQ	"Automotive Aftermarket"	"Consumer Durables"
421	CAT	1/2/1998	86.01	"Caterpillar, Inc."	NYSE	"Construction/Ag Equipment/Trucks"	"Capital Goods"
422	CATM	12/13/2007	22.36	"Cardtronics plc"	NASDAQ	"Business Services"	"Miscellaneous"
423	CATO	10/16/2009	15.65	"Cato Corporation (The)"	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
424	CATY	1/2/1998	42.62	"Cathay General Bancorp"	NASDAQ	"Major Banks"	"Finance"
425	CAVM	5/2/2007	35.45	"Cavium, Inc."	NASDAQ	"Semiconductors"	"Technology"
426	CB	1/2/1998	74.4	"D/B/A Chubb Limited New"	NYSE	"Property-Casualty Insurers"	"Finance"
427	CBAK	5/31/2006	15.38	"China BAK Battery, Inc."	NASDAQ	"Industrial Machinery/Components"	"Miscellaneous"
428	CBB	1/2/1998	50.29	"Cincinnati Bell Inc"	NYSE	"Telecommunications Equipment"	"Public Utilities"
429	CBF	9/20/2012	6.79	"Capital Bank Financial Corp."	NASDAQ	"Major Banks"	"Finance"
430	CBG	6/10/2004	50.27	"CBRE Group, Inc."	NYSE	"Real Estate"	"Finance"
431	CBI	1/2/1998	51.94	"Chicago Bridge & Iron Company N.V."	NYSE	"Engineering & Construction"	"Basic Industries"
432	CBK	7/17/2002	41.22	"Christopher & Banks Corporation"	NYSE	"Clothing/Shoe/Accessory Stores"	"Consumer Services"
433	CBL	1/2/1998	57.96	"CBL & Associates Properties, Inc."	NYSE	"Real Estate Investment Trusts"	"Consumer Services"
434	CBLI	7/25/2006	9.14	"Cleveland BioLabs, Inc."	NASDAQ	"Biotechnology: Commercial Physical & Biological Resarch"	"Health Care"
435	CBM	1/2/1998	37.61	"Cambrex Corporation"	NYSE	"Major Pharmaceuticals"	"Health Care"
436	CBNK	7/20/2006	1.15	"Chicopee Bancorp, Inc."	NASDAQ	"Banks"	"Finance"
437	CBOE	6/15/2010	22.09	"CBOE Holdings, Inc."	NASDAQ	"Investment Bankers/Brokers/Service"	"Finance"
438	CBR	1/2/1998	40.07	"Ciber, Inc."	NYSE	"EDP Services"	"Technology"
439	CBRL	1/2/1998	59.69	"Cracker Barrel Old Country Store, Inc."	NASDAQ	"Restaurants"	"Consumer Services"
440	CBS	1/3/2006	48.28	"CBS Corporation"	NYSE	"Broadcasting"	"Consumer Services"
441	CBSH	1/2/1998	46.4	"Commerce Bancshares, Inc."	NASDAQ	"Major Banks"	"Finance"
442	CBT	1/2/1998	53.1	"Cabot Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
443	CBU	1/2/1998	34.09	"Community Bank System, Inc."	NYSE	"Major Banks"	"Finance"
444	CBZ	1/2/1998	27.44	"CBIZ, Inc."	NYSE	"Business Services"	"Miscellaneous"
445	CC	6/19/2015	4.84	"Chemours Company (The)"	NYSE	"Major Chemicals"	"Basic Industries"
446	CCBG	1/2/1998	9.05	"Capital City Bank Group"	NASDAQ	"Major Banks"	"Finance"
447	CCC	1/2/1998	44.22	"Calgon Carbon Corporation"	NYSE	"Major Chemicals"	"Basic Industries"
